Time,WHP [psi],FLP [psi],I_MOTOR,V_MOTOR,MOT_FREQ,Pi [psi],Pd [psi],Ti [Deg F],Tm [Deg F],VIBRATION
2/18/2021 22:17,143.42,137.92,43.85,"2,650.83",52,"1,304.87","3,721.81",167,239,0.69
2/18/2021 22:27,143.02,137.38,43.86,"2,650.83",52,"1,304.51","3,722.21",167,239,0.69
2/18/2021 22:37,143.16,137.62,43.86,"2,650.83",52,"1,304.32","3,722.74",167,239,0.7
2/18/2021 22:47,144.18,138.34,43.79,"2,650.15",52,"1,304.65","3,724.88",167,239,0.7
2/18/2021 22:57,144.78,138.95,43.79,"2,650.15",52,"1,304.70","3,724.66",167,239,0.7
2/18/2021 23:07,145.11,139.1,43.81,"2,650.83",52,"1,304.49","3,725.85",167,239,0.7
2/18/2021 23:17,144.52,138.67,43.82,"2,651.52",52,"1,304.49","3,725.20",167,239,0.69
2/18/2021 23:27,142.56,136.75,43.88,"2,650.15",52.01,"1,304.64","3,722.52",167,239,0.7
2/18/2021 23:37,144.9,139.02,43.81,"2,650.83",52,"1,304.65","3,725.49",167,239,0.7
2/18/2021 23:47,145.17,139.19,43.79,"2,652.20",52,"1,304.42","3,726.07",167,239,0.69
2/18/2021 23:57,144.42,138.45,43.79,"2,649.47",52,"1,304.88","3,726.11",167,239,0.69
2/19/2021 0:07,142.15,136.23,43.88,"2,649.47",52,"1,304.44","3,721.66",167,239,0.7
2/19/2021 0:17,142.98,137.11,43.81,"2,652.20",52,"1,304.42","3,723.49",167,239,0.69
2/19/2021 0:27,145.2,139.65,43.86,"2,651.52",52,"1,304.38","3,725.78",167,239,0.7
2/19/2021 0:37,143.73,138.01,43.83,"2,651.52",52,"1,304.46","3,724.82",167,239,0.7
2/19/2021 0:47,143.61,137.31,43.79,"2,651.52",52,"1,304.49","3,725.13",167,239,0.7
2/19/2021 0:57,142.37,136.53,43.88,"2,650.15",52,"1,304.64","3,723.07",167,239,0.7
2/19/2021 1:07,143.42,137.81,43.85,"2,650.83",52,"1,304.44","3,723.58",167,239,0.69
2/19/2021 1:17,144.23,138.03,43.81,"2,650.83",52,"1,304.75","3,724.71",167,239,0.7
2/19/2021 1:27,145.58,139.58,43.81,"2,652.20",52,"1,304.49","3,728.61",167,239,0.7
2/19/2021 1:37,144.08,138.3,43.81,"2,651.52",52,"1,304.68","3,726.45",167,239,0.69
2/19/2021 1:47,141.94,136.03,43.85,"2,650.15",52,"1,304.39","3,722.61",167,239,0.7
2/19/2021 1:57,144.27,138.11,43.83,"2,651.52",52,"1,304.38","3,725.69",167,239,0.69
2/19/2021 2:07,143.5,137.88,43.81,"2,650.83",52,"1,304.41","3,725.56",167,239,0.71
2/19/2021 2:17,144.95,139.12,43.83,"2,650.15",52,"1,304.58","3,728.84",167,239,0.7
2/19/2021 2:27,143.68,137.67,43.83,"2,651.52",52,"1,304.71","3,725.67",167,239,0.7
