Time,WHP [psi],FLP [psi],I_MOTOR,V_MOTOR,MOT_FREQ,Pi [psi],Pd [psi],Ti [Deg F],Tm [Deg F],VIBRATION
2/18/2021 21:23,256.34,128.24,74.88,"2,355.62",49.92,940.96,"2,947.56",177.2,187,0.55
2/18/2021 21:33,256.28,128.15,74.81,"2,356.26",50.02,940.96,"2,947.35",177.2,186.99,0.6
2/18/2021 21:43,256.3,128.23,75.05,"2,356.89",50.08,940.98,"2,947.49",177.2,186.98,0.58
2/18/2021 21:53,256.35,128.3,74.88,"2,355.62",49.94,941,"2,947.48",177.2,187,0.64
2/18/2021 22:03,256.26,128.05,74.48,"2,355.62",49.94,940.87,"2,947.48",177.2,187,0.59
2/18/2021 22:13,256.32,128.16,74.66,"2,354.98",50.03,940.97,"2,947.49",177.2,187,0.59
2/18/2021 22:23,256.31,128.01,74.61,"2,356.89",50.06,940.89,"2,947.43",177.2,187,0.59
2/18/2021 22:33,256.3,128.07,74.81,"2,356.89",50.1,940.98,"2,947.52",177.2,186.99,0.61
2/18/2021 22:43,256.29,128.37,74.48,"2,354.98",49.98,941.13,"2,947.40",177.2,187.02,0.57
2/18/2021 22:53,256.38,128.35,74.77,"2,355.62",49.98,941.1,"2,947.82",177.2,187,0.57
2/18/2021 23:03,256.3,128.33,74.74,"2,353.71",50.06,941.11,"2,947.48",177.2,187,0.56
2/18/2021 23:13,256.35,128.25,74.53,"2,355.62",50.07,941.04,"2,947.68",177.2,187,0.59
2/18/2021 23:23,256.33,128.24,74.5,"2,356.26",49.99,941.04,"2,947.64",177.2,187,0.59
2/18/2021 23:33,256.35,128.24,74.48,"2,356.26",49.98,941.01,"2,947.83",177.2,187,0.6
2/18/2021 23:43,256.38,128.34,74.48,"2,356.26",49.97,941.08,"2,947.79",177.2,187,0.6
2/18/2021 23:53,256.31,128.3,74.67,"2,356.89",50.05,941.06,"2,947.70",177.2,186.99,0.6
2/19/2021 0:03,256.32,128.26,74.96,"2,357.53",49.99,941.06,"2,947.54",177.2,186.98,0.59
2/19/2021 0:13,256.33,128.44,74.44,"2,355.62",49.95,941.07,"2,947.82",177.2,187.02,0.59
2/19/2021 0:23,256.34,128.24,74.99,"2,354.98",49.96,941.03,"2,947.79",177.2,187,0.64
2/19/2021 0:33,256.34,128.21,74.86,"2,355.62",50.04,941.05,"2,947.68",177.2,186.99,0.61
2/19/2021 0:43,256.38,128.11,73.94,"2,354.98",50.02,941.01,"2,947.60",177.2,187,0.63
2/19/2021 0:53,256.35,128.17,74.52,"2,356.89",49.93,941.03,"2,947.77",177.2,186.99,0.57
2/19/2021 1:03,256.33,128.04,74.44,"2,354.35",49.93,940.93,"2,947.88",177.2,187,0.56
2/19/2021 1:13,256.3,128.05,74.69,"2,354.98",49.93,941,"2,947.61",177.2,187,0.62
2/19/2021 1:23,256.29,128.06,74.36,"2,353.71",49.96,940.96,"2,947.47",177.2,186.98,0.58
2/19/2021 1:33,256.28,127.91,74.92,"2,354.98",49.98,941.05,"2,947.71",177.2,187,0.61
