Time,WHP [psi],FLP [psi],I_MOTOR,V_MOTOR,MOT_FREQ,Pi [psi],Pd [psi],Ti [Deg F],Tm [Deg F],VIBRATION,WHP [psi] anomaly,FLP [psi] anomaly,I_MOTOR anomaly,V_MOTOR anomaly,MOT_FREQ anomaly,Pi [psi] anomaly,Pd [psi] anomaly,Ti [Deg F] anomaly,Tm [Deg F] anomaly,VIBRATION anomaly,PCA1,PCA2,Anomoly
2021-02-18 21:28:00,191.0500030517578,190.6999969482422,71.01000213623047,3391.5,50.0,1527.5400390625,4011.3798828125,182.509994506836,203.1300048828125,0.1299999952316284,1,1,1,-1,1,1,1,1,1,1,0.039914612549049946,0.22249926410958715,1
2021-02-18 21:38:00,190.8300018310547,190.9100036621093,71.16000366210938,3397.449951171875,50.0099983215332,1527.489990234375,4011.320068359375,182.5,203.22000122070312,0.1299999952316284,1,1,1,1,1,1,1,1,1,1,-0.030349107479406525,0.10329028617190085,1
2021-02-18 21:48:00,190.7899932861328,191.02999877929688,71.4000015258789,3391.5,50.0,1527.3800048828125,4011.429931640625,182.5,203.02999877929688,0.1400000005960464,1,1,1,-1,1,1,1,1,1,1,-0.08782921941649202,-0.1102862073333745,1
2021-02-18 21:58:00,190.75,190.7700042724609,71.5,3397.449951171875,50.0099983215332,1527.3800048828125,4011.18994140625,182.5,203.22000122070312,0.1400000005960464,-1,1,1,1,1,1,1,1,1,1,-0.1538841123599196,-0.1818833196380594,1
2021-02-18 22:08:00,190.8099975585937,190.8800048828125,71.56999969482422,3394.89990234375,50.0,1527.3299560546875,4011.389892578125,182.4900054931641,203.3099975585937,0.1299999952316284,1,1,-1,1,1,1,1,1,-1,1,-0.18541076558660938,-0.2379621919260083,1
2021-02-18 22:18:00,190.7700042724609,190.8000030517578,71.11000061035156,3391.5,50.0099983215332,1527.5400390625,4011.199951171875,182.4900054931641,203.0800018310547,0.1400000005960464,1,1,1,-1,1,1,1,1,1,1,0.008144282915682767,0.13664535058794483,1
2021-02-18 22:28:00,190.9100036621093,191.0500030517578,71.55000305175781,3394.050048828125,50.0,1527.2900390625,4012.31005859375,182.5,203.33999633789065,0.1299999952316284,1,1,-1,1,1,1,1,1,-1,1,-0.18888124439436965,-0.21599188815342224,1
2021-02-18 22:38:00,191.27999877929688,191.02999877929688,71.18000030517578,3394.89990234375,50.02000045776367,1527.260009765625,4011.780029296875,182.5200042724609,203.259994506836,0.1400000005960464,1,1,1,1,1,1,1,-1,1,1,-0.05042888161665948,0.09231088173449602,1
2021-02-18 22:48:00,191.3699951171875,190.9600067138672,71.5199966430664,3397.449951171875,49.9900016784668,1527.219970703125,4011.7099609375,182.4900054931641,203.0800018310547,0.1299999952316284,1,1,1,1,1,1,1,1,1,1,-0.13124676429379858,-0.21083418739817794,1
2021-02-18 22:58:00,191.5800018310547,191.009994506836,71.23999786376953,3393.199951171875,50.0099983215332,1527.3299560546875,4011.52001953125,182.4900054931641,203.0800018310547,0.1299999952316284,1,1,1,1,1,1,1,1,1,1,-0.03861144466377067,0.027697973267528504,1
2021-02-18 23:08:00,191.97000122070312,190.82000732421875,71.44999694824219,3392.35009765625,50.0099983215332,1527.449951171875,4011.469970703125,182.5,203.1000061035156,0.1299999952316284,1,1,1,1,1,1,1,1,1,1,-0.12253874699696575,-0.1452235475317985,1
